"date_","continent","location","population","new_people_vaccinated_smoothed","cumsum_vac"
"2020-02-24","Asia","Afghanistan",39835428,0,0.0
"2020-02-25","Asia","Afghanistan",39835428,0,0.0
"2020-02-26","Asia","Afghanistan",39835428,0,0.0
"2020-02-27","Asia","Afghanistan",39835428,0,0.0
"2020-02-28","Asia","Afghanistan",39835428,0,0.0
"2020-02-29","Asia","Afghanistan",39835428,0,0.0
"2020-03-01","Asia","Afghanistan",39835428,0,0.0
"2020-03-02","Asia","Afghanistan",39835428,0,0.0
"2020-03-03","Asia","Afghanistan",39835428,0,0.0
"2020-03-04","Asia","Afghanistan",39835428,0,0.0
"2020-03-05","Asia","Afghanistan",39835428,0,0.0
"2020-03-06","Asia","Afghanistan",39835428,0,0.0
"2020-03-07","Asia","Afghanistan",39835428,0,0.0
"2020-03-08","Asia","Afghanistan",39835428,0,0.0
"2020-03-09","Asia","Afghanistan",39835428,0,0.0
"2020-03-10","Asia","Afghanistan",39835428,0,0.0
"2020-03-11","Asia","Afghanistan",39835428,0,0.0
"2020-03-12","Asia","Afghanistan",39835428,0,0.0
"2020-03-13","Asia","Afghanistan",39835428,0,0.0
"2020-03-14","Asia","Afghanistan",39835428,0,0.0
"2020-03-15","Asia","Afghanistan",39835428,0,0.0
"2020-03-16","Asia","Afghanistan",39835428,0,0.0
"2020-03-17","Asia","Afghanistan",39835428,0,0.0
"2020-03-18","Asia","Afghanistan",39835428,0,0.0
"2020-03-19","Asia","Afghanistan",39835428,0,0.0
"2020-03-20","Asia","Afghanistan",39835428,0,0.0
"2020-03-21","Asia","Afghanistan",39835428,0,0.0
"2020-03-22","Asia","Afghanistan",39835428,0,0.0
"2020-03-23","Asia","Afghanistan",39835428,0,0.0
"2020-03-24","Asia","Afghanistan",39835428,0,0.0
"2020-03-25","Asia","Afghanistan",39835428,0,0.0
"2020-03-26","Asia","Afghanistan",39835428,0,0.0
"2020-03-27","Asia","Afghanistan",39835428,0,0.0
"2020-03-28","Asia","Afghanistan",39835428,0,0.0
"2020-03-29","Asia","Afghanistan",39835428,0,0.0
"2020-03-30","Asia","Afghanistan",39835428,0,0.0
"2020-03-31","Asia","Afghanistan",39835428,0,0.0
"2020-04-01","Asia","Afghanistan",39835428,0,0.0
"2020-04-02","Asia","Afghanistan",39835428,0,0.0
"2020-04-03","Asia","Afghanistan",39835428,0,0.0
"2020-04-04","Asia","Afghanistan",39835428,0,0.0
"2020-04-05","Asia","Afghanistan",39835428,0,0.0
"2020-04-06","Asia","Afghanistan",39835428,0,0.0
"2020-04-07","Asia","Afghanistan",39835428,0,0.0
"2020-04-08","Asia","Afghanistan",39835428,0,0.0
"2020-04-09","Asia","Afghanistan",39835428,0,0.0
"2020-04-10","Asia","Afghanistan",39835428,0,0.0
"2020-04-11","Asia","Afghanistan",39835428,0,0.0
"2020-04-12","Asia","Afghanistan",39835428,0,0.0
"2020-04-13","Asia","Afghanistan",39835428,0,0.0
"2020-04-14","Asia","Afghanistan",39835428,0,0.0
"2020-04-15","Asia","Afghanistan",39835428,0,0.0
"2020-04-16","Asia","Afghanistan",39835428,0,0.0
"2020-04-17","Asia","Afghanistan",39835428,0,0.0
"2020-04-18","Asia","Afghanistan",39835428,0,0.0
"2020-04-19","Asia","Afghanistan",39835428,0,0.0
"2020-04-20","Asia","Afghanistan",39835428,0,0.0
"2020-04-21","Asia","Afghanistan",39835428,0,0.0
"2020-04-22","Asia","Afghanistan",39835428,0,0.0
"2020-04-23","Asia","Afghanistan",39835428,0,0.0
"2020-04-24","Asia","Afghanistan",39835428,0,0.0
"2020-04-25","Asia","Afghanistan",39835428,0,0.0
"2020-04-26","Asia","Afghanistan",39835428,0,0.0
"2020-04-27","Asia","Afghanistan",39835428,0,0.0
"2020-04-28","Asia","Afghanistan",39835428,0,0.0
"2020-04-29","Asia","Afghanistan",39835428,0,0.0
"2020-04-30","Asia","Afghanistan",39835428,0,0.0
"2020-05-01","Asia","Afghanistan",39835428,0,0.0
"2020-05-02","Asia","Afghanistan",39835428,0,0.0
"2020-05-03","Asia","Afghanistan",39835428,0,0.0
"2020-05-04","Asia","Afghanistan",39835428,0,0.0
"2020-05-05","Asia","Afghanistan",39835428,0,0.0
"2020-05-06","Asia","Afghanistan",39835428,0,0.0
"2020-05-07","Asia","Afghanistan",39835428,0,0.0
"2020-05-08","Asia","Afghanistan",39835428,0,0.0
"2020-05-09","Asia","Afghanistan",39835428,0,0.0
"2020-05-10","Asia","Afghanistan",39835428,0,0.0
"2020-05-11","Asia","Afghanistan",39835428,0,0.0
"2020-05-12","Asia","Afghanistan",39835428,0,0.0
"2020-05-13","Asia","Afghanistan",39835428,0,0.0
"2020-05-14","Asia","Afghanistan",39835428,0,0.0
